quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2023-11-01,STRAT3,DISFCPE LX Equity,1,1.4372629805062709,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-11-01,STRAT3,GBSE GR Equity,2,1.1597225650271568,top2_diversified,-0.11961241266039338,0.2775404154791141,2023-02-01,0,same_ticker,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2023-12-01,STRAT1,LYEGTIE ID Equity,1,0.9473861778091501,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-12-01,STRAT2,TRESGFE ID Equity,1,1.2876144581525697,top1,,0.0,2023-02-01,0,same_ticker,1.47,0.0147,TRIUM ESG EMISSIONS IMP-FEUR,TRIUM ESG EMISSIONS IMP-FEUR
2023-12-01,STRAT2,HFHSELA LX Equity,2,1.0562685206697784,top2_diversified,0.027395735009979133,0.2313459374827913,2023-02-01,1,better_score,1.47,0.0147,HELIUM FUND-HELIUM SEL-A EUR,HELIUM FUND-HELIUM SEL-A EUR
2023-12-01,STRAT3,DISFCPE LX Equity,1,1.2840697521978908,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-12-01,STRAT3,GBSE GR Equity,2,1.0728265961678816,top2_diversified,-0.24317738578385087,0.2112431560300092,2023-02-01,0,same_ticker,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2024-01-01,STRAT1,LYEGTIE ID Equity,1,0.9325539560107934,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2024-01-01,STRAT2,TRESGFE ID Equity,1,1.0235104429129436,top1,,0.0,2023-02-01,0,same_ticker,1.47,0.0147,TRIUM ESG EMISSIONS IMP-FEUR,TRIUM ESG EMISSIONS IMP-FEUR
2024-01-01,STRAT2,HFHSELA LX Equity,2,0.9561096719222271,top2_diversified,0.03929000740360219,0.06740077099071651,2023-02-01,0,same_ticker,1.47,0.0147,HELIUM FUND-HELIUM SEL-A EUR,HELIUM FUND-HELIUM SEL-A EUR
2024-01-01,STRAT3,DISFCPE LX Equity,1,0.9496323598403372,top1,,0.0,2023-02-01,0,hold_buffer,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2024-01-01,STRAT3,GBSE GR Equity,2,0.9734942762158743,top2_diversified,-0.24317738578385087,0.2112431560300092,2023-02-01,0,hold_buffer,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2024-02-01,STRAT1,ALLVOSI LX Equity,1,1.0749898422471285,top1,,0.0,2024-02-01,1,better_score,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-02-01,STRAT1,UIATHNA GR Equity,2,1.045943872242504,top2_diversified,-0.055547472510980626,0.02904597000462439,2024-02-01,1,better_score,1.23,0.0123,ATHENA UI,ATHENA UI
2024-02-01,STRAT2,BGTFDLX LX Equity,1,1.6394946925586404,top1,,0.0,2024-02-01,1,better_score,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
