,AEABSIA ID Equity
2022-12-01,0.016966938579557556
2022-12-02,0.01690828704440151
2022-12-06,0.016795023057789103
2022-12-07,0.016796457488233166
2022-12-08,0.01666147897486212
2022-12-09,0.015604071467918576
2022-12-13,0.01576334174177391
2022-12-14,0.015476281286330797
2022-12-15,0.009243882474823497
2022-12-16,0.008508033996392097
2022-12-20,0.00692270304052094
2022-12-21,0.0049500926131948895
2022-12-22,0.004334781667302378
2022-12-23,0.004191269623014444
2022-12-28,0.004131777873211983
2022-12-29,0.004439151976845327
2022-12-30,0.005438402650552142
2023-01-03,0.0053840178389183944
2023-01-04,0.004972080528545784
2023-01-05,0.0046030598864124465
2023-01-06,0.004903889984242516
2023-01-10,0.004875959543532469
2023-01-11,0.0054718725037080735
2023-01-12,0.005692274571249712
2023-01-13,0.0056879821183678635
2023-01-17,0.006473084835118407
2023-01-18,0.006892493112220462
2023-01-19,0.0056476339230651235
2023-01-20,0.005762615119535494
2023-01-24,0.005840373451809414
2023-01-25,0.005491028500333852
2023-01-26,0.005257189096283406
2023-01-27,0.005365665423796781
2023-01-31,0.005043342301228839
2023-02-01,0.004765500926551247
2023-02-02,0.0019484640650491547
2023-02-03,0.0017384015923599296
2023-02-07,0.0017034893276394148
2023-02-08,0.0016673159219889936
2023-02-09,0.0015964956385919945
2023-02-10,0.0005511059881824468
2023-02-14,0.0002306654218584862
2023-02-15,0.0002364361901673722
2023-02-16,0.00025507138955991796
2023-02-17,0.00046933049689776627
2023-02-21,0.0004905490100305405
2023-02-22,-0.00014481988166132354
2023-02-23,0.0007217113477737633
2023-02-24,0.0017349135424705841
2023-02-28,0.0017308208724281958
2023-03-01,0.0028476558539288644
2023-03-02,0.0026476448806011105
2023-03-03,0.002439540004132962
2023-03-07,0.0021224026616624547
2023-03-08,0.001504813457250201
2023-03-09,0.001488261631751118
2023-03-10,0.001895097414551531
2023-03-14,0.0019579722562120413
2023-03-15,0.0025314288331616023
2023-03-16,0.0026666242694550393
2023-03-17,0.002700830269991593
2023-03-21,0.002725093073219269
2023-03-22,0.00313895550137637
2023-03-23,0.003598932220720102
2023-03-24,0.003719243386346523
2023-03-28,0.0038084564843444864
2023-03-29,0.003815706554778575
2023-03-30,0.003727575367936926
2023-03-31,0.00017849894251071606
2023-04-04,0.0008475403125362869
2023-04-05,0.0009764608036396553
2023-04-06,0.0008636249355456651
2023-04-12,0.0009924672155409355
2023-04-13,0.0009034038603079003
2023-04-14,0.0008567912656393048
2023-04-18,0.0002425788514869511
2023-04-19,-0.0005275393942275724
2023-04-20,-0.0010213038637880286
