date,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,switching_drag_nav,portfolio_ter_bps_annualized,switching_drag_daily,allocation_turnover_daily
2021-12-06,0.0067214132419898265,0.0067214132419898265,1.1787831577167431,1.1787831577167431,0.0,35.86828950724857,0.0,0.0
2021-12-07,0.01673035667781045,0.01673035667781045,1.19850462039114,1.19850462039114,0.0,35.86828950724857,0.0,0.0
2021-12-08,-0.0054010510578621955,-0.0054010510578621955,1.1920314357433237,1.1920314357433237,0.0,35.86828950724857,0.0,0.0
2021-12-09,0.002559729560959717,0.002559729560959717,1.195082713846989,1.195082713846989,0.0,35.86828950724857,0.0,0.0
2021-12-10,-0.003999707481069023,-0.003999707481069023,1.190302732575919,1.190302732575919,0.0,35.86828950724857,0.0,0.0
2021-12-13,-0.0006949772667400322,-0.0006949772667400322,1.1894754992362402,1.1894754992362402,0.0,35.86828950724857,0.0,0.0
2021-12-14,-0.006091925735984792,-0.006091925735984792,1.1822293028301196,1.1822293028301196,0.0,35.86828950724857,0.0,0.0
2021-12-15,0.0007232377684392735,0.0007232377684392735,1.183084335712882,1.183084335712882,0.0,35.86828950724857,0.0,0.0
2021-12-16,0.008342671699811758,0.008342671699811758,1.1929544199189246,1.1929544199189246,0.0,35.86828950724857,0.0,0.0
2021-12-17,-0.004066569220018365,-0.004066569220018365,1.1881031881939974,1.1881031881939974,0.0,35.86828950724857,0.0,0.0
2021-12-20,-0.01390424199189938,-0.01390424199189938,1.171583513954001,1.171583513954001,0.0,35.86828950724857,0.0,0.0
2021-12-21,0.011063209188132948,0.011063209188132948,1.1845449874502418,1.1845449874502418,0.0,35.86828950724857,0.0,0.0
2021-12-22,0.005924308961501151,0.005924308961501151,1.1915625979346944,1.1915625979346944,0.0,35.86828950724857,0.0,0.0
2021-12-23,0.00690043260195673,0.00690043260195673,1.1997848953327555,1.1997848953327555,0.0,35.86828950724857,0.0,0.0
2021-12-24,-3.3263553173568106e-06,-3.3263553173568106e-06,1.199780904421889,1.199780904421889,0.0,35.86828950724857,0.0,0.0
2021-12-27,0.00367834039521836,0.00367834039521836,1.2041941069880355,1.2041941069880355,0.0,35.86828950724857,0.0,0.0
2021-12-28,0.0033202058912927823,0.0033202058912927823,1.2081922793563173,1.2081922793563173,0.0,35.86828950724857,0.0,0.0
2021-12-29,-0.0030142808349086225,-0.0030142808349086225,1.204550448523769,1.204550448523769,0.0,35.86828950724857,0.0,0.0
2021-12-30,0.002049787903860123,0.002049787903860123,1.2070195214627424,1.2070195214627424,0.0,35.86828950724857,0.0,0.0
2021-12-31,-3.3291155707992903e-06,-3.3291155707992903e-06,1.2070155031552592,1.2070155031552592,0.0,35.86828950724857,0.0,0.0
2022-01-03,-0.0013780695900797169,-0.0013780695900797169,1.2053521517956063,1.2053521517956063,0.0,35.49328950724857,0.0,0.0
2022-01-04,0.0031866933672061726,0.0031866933672061726,1.209193239502881,1.209193239502881,0.0,35.49328950724857,0.0,0.0
2022-01-05,-0.002539879386469801,-0.002539879386469801,1.206122034519609,1.206122034519609,0.0,35.49328950724857,0.0,0.0
2022-01-06,-0.010818956869384628,-0.010818956869384628,1.193073052248927,1.193073052248927,0.0,35.49328950724857,0.0,0.0
2022-01-07,-0.005014763577318537,-0.005014763577318537,1.1870900729614289,1.1870900729614289,0.0,35.49328950724857,0.0,0.0
2022-01-10,-0.008332934737507708,-0.008332934737507708,1.177198128855898,1.177198128855898,0.0,35.49328950724857,0.0,0.0
2022-01-11,0.007866798039389158,0.007866798039389158,1.186458908787954,1.186458908787954,0.0,35.49328950724857,0.0,0.0
2022-01-12,0.0029717683933988604,0.0029717683933988604,1.1899847898731566,1.1899847898731566,0.0,35.49328950724857,0.0,0.0
2022-01-13,-0.002456678243812646,-0.002456678243812646,1.1870613801294072,1.1870613801294072,0.0,35.49328950724857,0.0,0.0
2022-01-14,-0.008630328451336699,-0.008630328451336699,1.1768166505269935,1.1768166505269935,0.0,35.49328950724857,0.0,0.0
