,alpha_daily
2022-08-29,0.00013001236623870526
2022-08-30,4.0269123602478245e-05
2022-08-31,0.0002615765159505544
2022-09-01,0.0014284803557539777
2022-09-02,-0.0001945753537667462
2022-09-05,6.63363791762098e-05
2022-09-06,-0.0015659742930313946
2022-09-07,-0.0026446519564888573
2022-09-08,0.004652945839496541
2022-09-09,-0.0006126156960982459
2022-09-12,-4.6239287114098984e-05
2022-09-13,0.004480521024230298
2022-09-14,0.0016592908792254968
2022-09-15,0.0011188521695008084
2022-09-16,0.00024150891554572176
2022-09-19,4.6252197174723145e-06
2022-09-20,0.00353699334356183
2022-09-21,0.00016057435619415856
2022-09-22,0.0016762951953744906
2022-09-23,0.007996326779164266
2022-09-26,3.181411298253961e-05
2022-09-27,0.00348548754054753
2022-09-28,-0.003645448801881933
2022-09-29,-0.0005261815119788814
2022-09-30,-0.0015561888049777039
2022-10-03,-9.68784610806845e-05
2022-10-04,-0.0030601052758098676
2022-10-05,0.0006550693852254117
2022-10-06,0.0048622436348364885
2022-10-07,0.0046781442127570225
2022-10-10,7.241157035861695e-05
2022-10-11,0.0006003553607960897
2022-10-12,0.0006651512557047832
2022-10-13,0.0017953173277144353
2022-10-14,-0.0019641892083833955
2022-10-17,-8.646812495378246e-05
2022-10-18,-0.002730414227066433
2022-10-19,0.0033488174538756923
2022-10-20,0.003933830431038399
2022-10-21,-0.0005385245368672386
2022-10-24,-0.00010513106117000647
2022-10-25,-0.0037888403141309295
2022-10-26,-0.006338592826707999
2022-10-27,-0.004548037848337377
2022-10-28,0.0015070944248182418
2022-10-31,4.4197888789334316e-05
2022-11-01,0.0006656798825531102
2022-11-02,-0.001775515555925199
2022-11-03,0.006809851615163997
2022-11-04,-0.0021240425136736024
2022-11-07,-1.119479535109404e-05
2022-11-08,-0.0037236026258600386
2022-11-09,-0.002181259667879771
2022-11-10,-0.008404442609615743
2022-11-11,0.0008029179178011912
2022-11-14,-1.4166931389232937e-05
2022-11-15,-0.0029712395298384744
2022-11-16,-0.0011176743228369106
2022-11-17,0.0007206613322951827
2022-11-18,0.00043868820309614435
2022-11-21,-2.391510007764523e-05
2022-11-22,0.0009179713483517565
2022-11-23,-0.0029481823584803493
2022-11-24,0.0005242205442808493
2022-11-25,-0.0011406765676468108
2022-11-28,4.274848175852041e-05
2022-11-29,-0.00024307501245725204
2022-11-30,0.000333860349169728
2022-12-01,-0.0029766972439968487
2022-12-02,-0.0022374289872506385
2022-12-05,3.6241711990666193e-05
2022-12-06,-0.0018540583717739111
2022-12-07,-0.00047914349016298677
2022-12-08,-0.0004822868997095596
2022-12-09,-0.0005372094340567381
2022-12-12,2.2126805270921533e-05
2022-12-13,-0.0013132559047436
2022-12-14,-0.0005061242768616712
2022-12-15,0.0035193692828313135
2022-12-16,-0.0014761491108174311
2022-12-19,2.6239516125616754e-05
2022-12-20,-0.002336964548534096
2022-12-21,0.0020858974119255793
2022-12-22,-0.00137641130538049
2022-12-23,0.003309656046806656
2022-12-26,0.0
2022-12-27,5.7335955362235705e-05
2022-12-28,0.00018891158906787732
2022-12-29,-8.687194722815971e-05
2022-12-30,-0.002271846015049676
2023-01-02,-0.0001113216584183068
2023-01-03,0.00017723138652946257
2023-01-04,-0.0009187619679037321
2023-01-05,0.0013846452782177486
2023-01-06,-0.00036078247436394046
2023-01-09,-2.7721672486749034e-05
2023-01-10,0.001337137016065684
2023-01-11,-0.0019259394581519697
2023-01-12,-0.0003315799376159428
2023-01-13,-4.580487180070945e-05
2023-01-16,-1.6331702185836827e-05
2023-01-17,0.0011881744087029467
2023-01-18,-0.0006126437468032443
2023-01-19,0.0015795753486882657
2023-01-20,0.0008685533202975003
2023-01-23,-4.917119378141801e-05
2023-01-24,-0.0011951849913092224
2023-01-25,0.0016381531559623108
2023-01-26,0.0020526215384103633
2023-01-27,0.0006452551456731789
2023-01-30,6.402154717084558e-05
2023-01-31,-0.0010271332792130391
2023-02-01,-0.00033967464893760004
2023-02-02,-0.0038062924127254187
2023-02-03,0.0013251175430969255
2023-02-06,6.25562436161612e-05
2023-02-07,0.0001330296129919965
2023-02-08,0.0009630619021415714
2023-02-09,0.002397257996162538
2023-02-10,0.0013887214618499332
2023-02-13,-1.7337033918819e-05
2023-02-14,-0.0008175876078682152
2023-02-15,-0.0016367725206760362
2023-02-16,0.0008019804945720075
2023-02-17,0.00040789572628022305
2023-02-20,4.235495101754775e-06
2023-02-21,0.0015691559991890369
2023-02-22,-0.0007065177514809448
2023-02-23,0.00047216192001755673
2023-02-24,0.0007673051685053695
2023-02-27,-6.58085357482506e-06
2023-02-28,0.00037165593260317804
2023-03-01,0.003090982468152121
2023-03-02,0.0018875450849539157
2023-03-03,-7.435420193526568e-05
2023-03-06,-1.7944981013798932e-05
2023-03-07,0.0004978719007961102
2023-03-08,0.00012229583271618905
2023-03-09,0.00033497466047573333
2023-03-10,-0.004684883893153669
2023-03-13,3.112248925045746e-05
2023-03-14,0.004251159800393214
2023-03-15,-0.008103751787195374
2023-03-16,-1.7168314510778128e-05
2023-03-17,0.001352617437145585
2023-03-20,-3.765099616706565e-05
